experiment_id,id,n,median_reference_gain,positive_fraction,median_face_mae
matrix24_confidence50_step5,eddie,4,-0.023607999612345533,0.0,0.03618267137065914
matrix24_confidence50_step5,elon,4,-0.008118910089209286,0.5,0.043604886859674355
matrix24_confidence50_step5,jennie,2,0.06379799961346433,1.0,0.03218103181429127
matrix24_confidence50_step5,jensen,2,-0.00707677012077923,0.0,0.039904179733184074
matrix24_confidence50_step5,jisoo,3,-0.0006260275840759277,0.3333333333333333,0.029408579372069588
matrix24_confidence50_step5,keanu,2,0.02513320543528763,1.0,0.038055934217342394
matrix24_confidence50_step5,lex,4,-0.02408992114532027,0.5,0.04131263364857517
matrix24_confidence50_step5,marion,3,-0.01534593473055268,0.3333333333333333,0.06268425566968032
matrix24_dual25_step6,eddie,4,0.004250767197636646,0.5,0.05249800311668468
matrix24_dual25_step6,elon,4,-0.013434083063021574,0.5,0.07892562536247252
matrix24_dual25_step6,jennie,2,0.0916597141245224,1.0,0.06293577670702837
matrix24_dual25_step6,jensen,2,-0.023405271459958132,0.0,0.07141453428543659
matrix24_dual25_step6,jisoo,3,-0.03844571113586426,0.3333333333333333,0.041654153660447064
matrix24_dual25_step6,keanu,2,0.002521305039964561,0.5,0.08307157498877568
matrix24_dual25_step6,lex,4,-0.04024071148790703,0.25,0.06496587101726656
matrix24_dual25_step6,marion,3,-0.0032521486282348633,0.3333333333333333,0.07745266966775213
matrix24_nn7v2_lmkidw3_gate05_ba0,eddie,4,-0.005440438487841832,0.25,0.012770744902586202
matrix24_nn7v2_lmkidw3_gate05_ba0,elon,4,0.004557926520776079,0.75,0.011568937430836571
matrix24_nn7v2_lmkidw3_gate05_ba0,jennie,2,-0.001990288496017456,0.5,0.007861771202773106
matrix24_nn7v2_lmkidw3_gate05_ba0,jensen,2,0.004383789991142695,0.5,0.013856851536909
matrix24_nn7v2_lmkidw3_gate05_ba0,jisoo,3,0.002697386114237421,0.6666666666666666,0.00854290035660241
matrix24_nn7v2_lmkidw3_gate05_ba0,keanu,2,0.011529475823701674,0.5,0.013973596930611464
matrix24_nn7v2_lmkidw3_gate05_ba0,lex,4,0.005885309777511755,0.75,0.008661775309389871
matrix24_nn7v2_lmkidw3_gate05_ba0,marion,3,-0.005092657128125899,0.3333333333333333,0.0073627904863141315
matrix24_nn7v2_lmkidw3_gate065_ba0,eddie,4,-0.0016252689902355871,0.5,0.014039652709724473
matrix24_nn7v2_lmkidw3_gate065_ba0,elon,4,0.003497791599786415,0.5,0.01261984467958939
matrix24_nn7v2_lmkidw3_gate065_ba0,jennie,2,0.007737785577774048,0.5,0.0092128322629919
matrix24_nn7v2_lmkidw3_gate065_ba0,jensen,2,0.0024352275983060556,0.5,0.01602114905936068
matrix24_nn7v2_lmkidw3_gate065_ba0,jisoo,3,0.01566135883331299,1.0,0.009616671014825268
matrix24_nn7v2_lmkidw3_gate065_ba0,keanu,2,0.0032306009904505273,0.5,0.01572620071041321
matrix24_nn7v2_lmkidw3_gate065_ba0,lex,4,0.008184686478345249,0.75,0.009894560883623775
matrix24_nn7v2_lmkidw3_gate065_ba0,marion,3,-0.008482277898924195,0.3333333333333333,0.008317887284229225
matrix96_n3a_fullgrid_up_core_ring_anchor,eddie,12,0.01540525071322918,0.6666666666666666,0.08068136607381694
matrix96_n3a_fullgrid_up_core_ring_anchor,elon,12,-0.1488316902817324,0.0,0.11265456993962067
matrix96_n3a_fullgrid_up_core_ring_anchor,jennie,12,-0.227643257536608,0.0,0.08169234787623354
matrix96_n3a_fullgrid_up_core_ring_anchor,jensen,12,-0.1648131012916565,0.0,0.10114615337215817
matrix96_n3a_fullgrid_up_core_ring_anchor,jisoo,12,-0.147723722332411,0.0,0.07724459270243589
matrix96_n3a_fullgrid_up_core_ring_anchor,keanu,12,-0.14032971858978271,0.0,0.12813991916457362
matrix96_n3a_fullgrid_up_core_ring_anchor,lex,12,-0.1607806753081182,0.08333333333333333,0.08153808103503475
matrix96_n3a_fullgrid_up_core_ring_anchor,marion,12,-0.22428883612155914,0.08333333333333333,0.09392310020840444
