experiment_id,family,role,sample_count,decision,causal_baseline,median_face_mae,median_reference_gain,positive_reference_fraction,median_landmark_displacement,median_bbox_iou,median_outside_mae,experiment_dir
n3a_alignrepair_core35_div8,legacy_spatial_ba,n3a_progressive_alignment_repair,8,active_but_not_reference_improving,PM,0.04806876741280543,-0.07471256111118194,0.0,0.006661373006047151,0.9801383568274635,0.011725796170045941,/home/niko/rsrch/diffusion_template/Jul_new_exp/22Jul_debug/experiments/20260723T000438_016332Z__n3arepairA__n3a_alignrepair_core35_div8
n3a_alignrepair_core50_div8,legacy_spatial_ba,n3a_progressive_alignment_repair,8,active_but_not_reference_improving,PM,0.05551145602187892,-0.17203712835907936,0.0,0.010682804505172026,0.9705232501856857,0.01365298192626479,/home/niko/rsrch/diffusion_template/Jul_new_exp/22Jul_debug/experiments/20260723T000438_016332Z__n3arepairA__n3a_alignrepair_core50_div8
n3a_alignrepair_core50_erode20_div8,legacy_spatial_ba,n3a_progressive_alignment_repair,8,active_but_not_reference_improving,PM,0.05037817930970841,-0.14242212888152828,0.0,0.008865143281341121,0.9741943538711977,0.012596692331243478,/home/niko/rsrch/diffusion_template/Jul_new_exp/22Jul_debug/experiments/20260723T000651_389991Z__n3arepairB__n3a_alignrepair_core50_erode20_div8
n3a_alignrepair_core50_late8_div8,legacy_spatial_ba,n3a_progressive_alignment_repair,8,active_but_not_reference_improving,PM,0.04828867995451688,-0.13510224604313437,0.0,0.009252851366457825,0.9761877254380316,0.011925646969548936,/home/niko/rsrch/diffusion_template/Jul_new_exp/22Jul_debug/experiments/20260723T000651_389991Z__n3arepairB__n3a_alignrepair_core50_late8_div8
n3a_core60_plus_cfg_refnoise_pair_div8,legacy_spatial_ba,two_stage_refinement,8,active_but_not_reference_improving,PM,0.070415008640209,-0.1253941833197751,0.25,0.019880057559331702,0.9543722306412472,0.010774903323565035,/home/niko/rsrch/diffusion_template/Jul_new_exp/22Jul_debug/experiments/20260723T005431_248307Z__n3aCombined__n3a_core60_plus_cfg_refnoise_pair_div8
n3a_core60_plus_zero_refpooled_div8,legacy_spatial_ba,two_stage_refinement,8,active_but_not_reference_improving,PM,0.07428477685156228,-0.14817115582830825,0.125,0.02318350656809795,0.9557862833375972,0.011159480357534411,/home/niko/rsrch/diffusion_template/Jul_new_exp/22Jul_debug/experiments/20260723T005431_248307Z__n3aCombined__n3a_core60_plus_zero_refpooled_div8
n3a_core60_standard_div8,legacy_spatial_ba,canonical_n3a_refinement,8,active_but_not_reference_improving,PM,0.07468419392411696,-0.14861105224733737,0.125,0.01977847762737986,0.9512573783634262,0.011434675463188665,/home/niko/rsrch/diffusion_template/Jul_new_exp/22Jul_debug/experiments/20260723T003451_053611Z__n3aRefA__n3a_core60_standard_div8
n3a_core68_erode15_div8,legacy_spatial_ba,canonical_n3a_refinement,8,active_but_not_reference_improving,PM,0.08679605742822386,-0.13055599643410373,0.25,0.025934018301234332,0.9481276036958748,0.011173207546469548,/home/niko/rsrch/diffusion_template/Jul_new_exp/22Jul_debug/experiments/20260723T003451_096337Z__n3aRefB__n3a_core68_erode15_div8
n3a_core68_erode20_div8,legacy_spatial_ba,canonical_n3a_refinement,8,active_but_not_reference_improving,PM,0.07909789215165797,-0.14445785615676715,0.25,0.02232875910105259,0.9464875640343047,0.011018365397868398,/home/niko/rsrch/diffusion_template/Jul_new_exp/22Jul_debug/experiments/20260723T003451_096337Z__n3aRefB__n3a_core68_erode20_div8
n3a_core68_late7_div8,legacy_spatial_ba,canonical_n3a_refinement,8,active_but_not_reference_improving,PM,0.08048375181188588,-0.17134142616706938,0.25,0.025364924272679022,0.9475170044262219,0.010745867654566076,/home/niko/rsrch/diffusion_template/Jul_new_exp/22Jul_debug/experiments/20260723T003451_053611Z__n3aRefA__n3a_core68_late7_div8
n3a_core68_late8_div8,legacy_spatial_ba,canonical_n3a_refinement,8,active_but_not_reference_improving,PM,0.07536661344178099,-0.145983958919097,0.25,0.023863188310276093,0.9541340154588853,0.010272433719444914,/home/niko/rsrch/diffusion_template/Jul_new_exp/22Jul_debug/experiments/20260723T003451_053611Z__n3aRefA__n3a_core68_late8_div8
n3a_core68_plus_cfg_refnoise_pair_div8,legacy_spatial_ba,one_newer_addition_to_n3a,8,active_but_not_reference_improving,PM,0.08125582888091223,-0.1494286904069567,0.375,0.022663634322379948,0.946103168506452,0.011123983015081294,/home/niko/rsrch/diffusion_template/Jul_new_exp/22Jul_debug/experiments/20260723T002702_189762Z__n3aAddA__n3a_core68_plus_cfg_refnoise_pair_div8
n3a_core68_plus_pair_and_zero_reftext_div8,legacy_spatial_ba,newer_addition_combination,8,active_but_not_reference_improving,PM,0.08815533982247001,-0.124468706877567,0.375,0.02848954176997627,0.9373208386119101,0.01113705587973354,/home/niko/rsrch/diffusion_template/Jul_new_exp/22Jul_debug/experiments/20260723T002702_164002Z__n3aAddB__n3a_core68_plus_pair_and_zero_reftext_div8
n3a_core68_plus_zero_refpooled_and_pair_div8,legacy_spatial_ba,two_stage_refinement,8,active_but_not_reference_improving,PM,0.08150859413688226,-0.15170731707437918,0.375,0.022046002558990026,0.9455458734576004,0.011043206923236324,/home/niko/rsrch/diffusion_template/Jul_new_exp/22Jul_debug/experiments/20260723T005431_248307Z__n3aCombined__n3a_core68_plus_zero_refpooled_and_pair_div8
n3a_core68_plus_zero_reftext_div8,legacy_spatial_ba,one_newer_addition_to_n3a,8,active_but_not_reference_improving,PM,0.08672362521353197,-0.13389927466469687,0.25,0.02521426006798472,0.941772574116059,0.011420068486610747,/home/niko/rsrch/diffusion_template/Jul_new_exp/22Jul_debug/experiments/20260723T002702_189762Z__n3aAddA__n3a_core68_plus_zero_reftext_div8
n3a_dual35_plus_cfg_refnoise_pair_div8,legacy_spatial_ba,leading_candidate_refinement,8,active_but_not_reference_improving,PM,0.07826124161915608,-0.025261211560636737,0.375,0.010821321664967378,0.968787110763845,0.011025776154661403,/home/niko/rsrch/diffusion_template/Jul_new_exp/22Jul_debug/experiments/20260723T010010_410815Z__dual35Refine__n3a_dual35_plus_cfg_refnoise_pair_div8
n3a_dual35_plus_late7_div8,legacy_spatial_ba,leading_candidate_refinement,8,active_but_not_reference_improving,PM,0.0724424120751479,-0.030841252551738307,0.125,0.00876723938876937,0.9723137433509502,0.010342143928800175,/home/niko/rsrch/diffusion_template/Jul_new_exp/22Jul_debug/experiments/20260723T010010_410815Z__dual35Refine__n3a_dual35_plus_late7_div8
n3a_dual35_plus_zero_refpooled_div8,legacy_spatial_ba,leading_candidate_refinement,8,active_but_not_reference_improving,PM,0.0752141858488789,-0.03981392131107664,0.25,0.012928635678474534,0.9606037153936471,0.01140185551696197,/home/niko/rsrch/diffusion_template/Jul_new_exp/22Jul_debug/experiments/20260723T010010_410815Z__dual35Refine__n3a_dual35_plus_zero_refpooled_div8
n3a_fullgrid_up_confidence25_div8,legacy_spatial_ba,historical_idea_combination,8,active_but_not_reference_improving,PM,0.02566055590306173,-0.007208764982745919,0.375,0.0026620436408505404,0.9846309046060315,0.008780979692233848,/home/niko/rsrch/diffusion_template/Jul_new_exp/22Jul_debug/experiments/20260723T005211_658936Z__n3aConfidence_fixed__n3a_fullgrid_up_confidence25_div8
n3a_fullgrid_up_confidence50_div8,legacy_spatial_ba,historical_idea_combination,8,active_but_not_reference_improving,PM,0.03524391231363035,-0.0009118822359289805,0.5,0.003803673811604218,0.9784507521572946,0.009956460618446164,/home/niko/rsrch/diffusion_template/Jul_new_exp/22Jul_debug/experiments/20260723T005211_658936Z__n3aConfidence_fixed__n3a_fullgrid_up_confidence50_div8
n3a_fullgrid_up_confidence75_div8,legacy_spatial_ba,historical_idea_combination,8,active_but_not_reference_improving,PM,0.043861698072841404,-0.0177201041348323,0.125,0.004396965365394105,0.9800260398718789,0.010217183096987414,/home/niko/rsrch/diffusion_template/Jul_new_exp/22Jul_debug/experiments/20260723T005211_658936Z__n3aConfidence_fixed__n3a_fullgrid_up_confidence75_div8
n3a_fullgrid_up_dual30_div8,legacy_spatial_ba,leading_mix_refinement,8,active_but_not_reference_improving,PM,0.06835727370201543,-0.014182916992828892,0.375,0.009524998756010778,0.973171607344872,0.010283508392363375,/home/niko/rsrch/diffusion_template/Jul_new_exp/22Jul_debug/experiments/20260723T010830_716138Z__dualFine__n3a_fullgrid_up_dual30_div8
n3a_fullgrid_up_dual40_div8,legacy_spatial_ba,leading_mix_refinement,8,active_but_not_reference_improving,PM,0.08416667807166874,-0.03097206538749131,0.375,0.017296621914214626,0.960043953724811,0.01159871043782629,/home/niko/rsrch/diffusion_template/Jul_new_exp/22Jul_debug/experiments/20260723T010830_716138Z__dualFine__n3a_fullgrid_up_dual40_div8
n3a_fullgrid_up_dual45_div8,legacy_spatial_ba,leading_mix_refinement,8,active_but_not_reference_improving,PM,0.09715612763040588,-0.043767127023167984,0.375,0.017508984699822056,0.955091747485598,0.01223072654002651,/home/niko/rsrch/diffusion_template/Jul_new_exp/22Jul_debug/experiments/20260723T010830_716138Z__dualFine__n3a_fullgrid_up_dual45_div8
nn7v2_lmkidw1_gate10_ba0,landmark_local_clean_patch_ba,correspondence_ablation,8,active_but_not_reference_improving,BA0,0.012526531296750104,-0.0008668601512908936,0.5,0.001448195936253473,0.993006645345609,0.0058492948883813855,/home/niko/rsrch/diffusion_template/Jul_new_exp/22Jul_debug/experiments/20260722T231653_655732Z__nn7localA__nn7v2_lmkidw1_gate10_ba0
nn7v2_lmkidw3_gate05_ba0,landmark_local_clean_patch_ba,authority_ablation,8,active_but_not_reference_improving,BA0,0.008426953566126164,0.002190012718416512,0.75,0.0008104832527475393,0.9942829595904152,0.0058153505306894225,/home/niko/rsrch/diffusion_template/Jul_new_exp/22Jul_debug/experiments/20260722T231653_756220Z__nn7localC__nn7v2_lmkidw3_gate05_ba0
nn7v2_lmkidw3_gate05_sigma12_ba0,landmark_local_clean_patch_ba,correspondence_smoothness,8,active_but_not_reference_improving,BA0,0.008593125439189787,-0.000649570715301806,0.375,0.0007153030015892676,0.9955223391608902,0.006022913148162722,/home/niko/rsrch/diffusion_template/Jul_new_exp/22Jul_debug/experiments/20260722T233444_337793Z__nn7refineB__nn7v2_lmkidw3_gate05_sigma12_ba0
nn7v2_lmkidw3_gate05_sigma35_ba0,landmark_local_clean_patch_ba,correspondence_smoothness,8,active_but_not_reference_improving,BA0,0.008645680654505461,0.0009049773924268423,0.625,0.0007488472453618468,0.9937534217762095,0.005921545215906784,/home/niko/rsrch/diffusion_template/Jul_new_exp/22Jul_debug/experiments/20260722T233444_337793Z__nn7refineB__nn7v2_lmkidw3_gate05_sigma35_ba0
nn7v2_lmkidw3_gate065_ba0,landmark_local_clean_patch_ba,authority_refinement,8,active_but_not_reference_improving,BA0,0.009656382307125202,0.0069519103059793586,0.5,0.0008283697742449338,0.9930309798584154,0.006000262880417235,/home/niko/rsrch/diffusion_template/Jul_new_exp/22Jul_debug/experiments/20260722T233444_363327Z__nn7refineA__nn7v2_lmkidw3_gate065_ba0
nn7v2_lmkidw3_gate065_late8_ba0,landmark_local_clean_patch_ba,recent_idea_schedule_specialization,8,active_but_not_reference_improving,BA0,0.008968751928000522,-0.009466668258926503,0.125,0.000703593828244525,0.9938960023200691,0.005345956034476596,/home/niko/rsrch/diffusion_template/Jul_new_exp/22Jul_debug/experiments/20260723T001356_466080Z__recentC__nn7v2_lmkidw3_gate065_late8_ba0
nn7v2_lmkidw3_gate065_semantic18_ba0,landmark_semantic_clean_patch_ba,recent_idea_semantic_ownership,8,active_but_not_reference_improving,BA0,0.008285173350016913,-0.003666132734162275,0.375,0.0011327595562179455,0.9962876862000579,0.005841423192842615,/home/niko/rsrch/diffusion_template/Jul_new_exp/22Jul_debug/experiments/20260723T001356_385420Z__recentA__nn7v2_lmkidw3_gate065_semantic18_ba0
nn7v2_lmkidw3_gate065_semantic25_ba0,landmark_semantic_clean_patch_ba,recent_idea_semantic_ownership,8,active_but_not_reference_improving,BA0,0.009235870228692458,0.0003697098556795786,0.5,0.001083014990224199,0.9949290366381291,0.006042724205538219,/home/niko/rsrch/diffusion_template/Jul_new_exp/22Jul_debug/experiments/20260723T001356_385420Z__recentA__nn7v2_lmkidw3_gate065_semantic25_ba0
nn7v2_lmkidw3_gate075_ba0,landmark_local_clean_patch_ba,authority_refinement,8,active_but_not_reference_improving,BA0,0.010395465392049818,0.0011152744153801186,0.5,0.0011102373711037576,0.9945206175223769,0.0062701600997325715,/home/niko/rsrch/diffusion_template/Jul_new_exp/22Jul_debug/experiments/20260722T233444_363327Z__nn7refineA__nn7v2_lmkidw3_gate075_ba0
nn7v2_lmkidw3_gate075_erode22_ba0,landmark_local_clean_patch_ba,recent_idea_trusted_core,8,active_but_not_reference_improving,BA0,0.009651925936138644,0.0017637123852221048,0.625,0.0007620321813978522,0.992857624295117,0.005790632671233768,/home/niko/rsrch/diffusion_template/Jul_new_exp/22Jul_debug/experiments/20260723T001356_466080Z__recentC__nn7v2_lmkidw3_gate075_erode22_ba0
nn7v2_lmkidw3_gate085_ba0,landmark_local_clean_patch_ba,authority_refinement,8,active_but_not_reference_improving,BA0,0.011860476092662758,0.00017751463502729825,0.5,0.0013247513605976063,0.9924743927942543,0.006032371339115964,/home/niko/rsrch/diffusion_template/Jul_new_exp/22Jul_debug/experiments/20260722T233444_337793Z__nn7refineB__nn7v2_lmkidw3_gate085_ba0
nn7v2_lmkidw3_gate10_ba0,landmark_local_clean_patch_ba,correspondence_ablation,8,active_but_not_reference_improving,BA0,0.012811977138218708,0.0006597835069695468,0.5,0.0013224786504378008,0.9921443667315021,0.00608492535557865,/home/niko/rsrch/diffusion_template/Jul_new_exp/22Jul_debug/experiments/20260722T231653_701545Z__nn7localB__nn7v2_lmkidw3_gate10_ba0
nn7v2_lmkidw3_gate20_ba0,landmark_local_clean_patch_ba,authority_ablation,8,active_but_not_reference_improving,BA0,0.022531232914599984,-0.014251802216175287,0.25,0.001409140258100607,0.9912928997117749,0.006844947502972289,/home/niko/rsrch/diffusion_template/Jul_new_exp/22Jul_debug/experiments/20260722T231653_756220Z__nn7localC__nn7v2_lmkidw3_gate20_ba0
nn7v2_lmkidw3_staged_up002_up1065_ba0,landmark_staged_clean_patch_ba,recent_idea_layer_specialization,8,active_but_not_reference_improving,BA0,0.010563163783687105,-0.005378186842648347,0.25,0.0008353047947184019,0.9925036473828044,0.005997287754181759,/home/niko/rsrch/diffusion_template/Jul_new_exp/22Jul_debug/experiments/20260723T001356_410627Z__recentB__nn7v2_lmkidw3_staged_up002_up1065_ba0
nn7v2_lmkidw3_staged_up003_up1075_ba0,landmark_staged_clean_patch_ba,recent_idea_layer_specialization,8,active_but_not_reference_improving,BA0,0.01597152884342289,-0.0022497396989501206,0.5,0.001480005945591833,0.9923481873299613,0.004705904511288304,/home/niko/rsrch/diffusion_template/Jul_new_exp/22Jul_debug/experiments/20260723T002702_208012Z__recentB_retry__nn7v2_lmkidw3_staged_up003_up1075_ba0
nn7v2_lmkidw5_gate10_ba0,landmark_local_clean_patch_ba,correspondence_ablation,8,active_but_not_reference_improving,BA0,0.012768100010812668,-0.0019329301229944473,0.5,0.0013429176280628534,0.992701464712612,0.006047569189628243,/home/niko/rsrch/diffusion_template/Jul_new_exp/22Jul_debug/experiments/20260722T231653_701545Z__nn7localB__nn7v2_lmkidw5_gate10_ba0
nn7v2_local3_gate05_ba0,clean_patch_local_ba,landmark_attribution_control,8,active_but_not_reference_improving,BA0,0.00854504530672962,-0.002129017534608757,0.375,0.0009229082642214828,0.9946356887899139,0.005976142346685891,/home/niko/rsrch/diffusion_template/Jul_new_exp/22Jul_debug/experiments/20260722T233444_363327Z__nn7refineA__nn7v2_local3_gate05_ba0
nn7v2_local5_gate10_ba0,clean_patch_local_ba,diverse_control,8,active_but_not_reference_improving,BA0,0.012523925536542836,9.149312973022461e-05,0.5,0.0012161223785974256,0.9921167382342295,0.006012188533870488,/home/niko/rsrch/diffusion_template/Jul_new_exp/22Jul_debug/experiments/20260722T231653_655732Z__nn7localA__nn7v2_local5_gate10_ba0
