run,step,control,control_step,mean_delta,wins,ties,bootstrap_low,bootstrap_high
CL27,16000,PM0,0,-0.009320051409304142,46,0,-0.02175713247464349,0.0034382390401636567
CL30,16000,CL27-matched,16000,-0.009434575214982033,38,0,-0.017018350795842706,-0.0019387262252469856
CL30,16000,PM0,0,-0.018754626624286175,35,0,-0.03040011350531131,-0.006965442211367189
CL31,24000,CL27-matched,24000,-0.006001452604929606,43,0,-0.012778600615759689,0.0007556374184787296
CL31,24000,PM0,0,-0.019500801029304664,36,0,-0.030108278423237305,-0.008420142508111893
CL32,18000,CL27-matched,18000,-0.0031824815087020397,45,0,-0.008031099378907431,0.001498973035874467
CL32,18000,PM0,0,-0.014441818154106537,43,0,-0.026933409448247403,-0.0020394107210449865
CL33,16000,CL27-matched,16000,-0.0009488022575775782,47,0,-0.0077641847232977545,0.0062798559277628865
CL33,16000,PM0,0,-0.01026885366688172,39,0,-0.022122212608034413,0.0018369515504067166
CL34,18000,CL27-matched,18000,-0.006482215443005164,47,0,-0.011835906483853856,-0.001424874621443448
CL34,18000,PM0,0,-0.017741552088409662,39,0,-0.030115937480392558,-0.005320695139622936
CL35,24000,CL27-matched,24000,-0.005130222688118617,37,0,-0.012481986754573881,0.0024125398524726437
CL35,24000,PM0,0,-0.018629571112493675,34,0,-0.030260962635899582,-0.006965399277396498
CL36,4000,CL27-source,16000,-0.01830176217481494,32,0,-0.02571936520980671,-0.01104651989104847
CL36,4000,PM0,0,-0.02762181358411908,36,0,-0.04017417733945573,-0.015257831286483753
CL37,18000,CL27-matched,18000,-0.007978296373039484,35,0,-0.014435050419221322,-0.001740517195624609
CL37,18000,PM0,0,-0.019237633018443983,35,0,-0.0311503507119293,-0.007340531004592771
