label,run_name,comet_key,selected_step,source
PM0,PM0_original_photomaker_CL19_full96_r1,74efd227d3f8488a98e83d815c77c07c,0,peak_export
CL27,CL27_cosmic_frequency_surface_energy_24k_full96_r3,dbfbf40c3bdd4f70bedc58bda3dfb9cd,16000,peak_export
CL30,CL30_cosmic_positive_lowband_sameid_24k_full96_r4,db38cfb250d241cf89bf57705ff86b18,16000,peak_export
CL31,CL31_cosmic_attention_ownership_alignment_24k_full96_r4,ed5077fd3cfc41bd898c1234b8c3ba24,24000,final_export
CL32,CL32_cosmic_contact_frequency_surface_24k_full96_r1,078cf231674f4fa499e160a435300511,18000,peak_export
CL33,CL33_cosmic_visibility_balanced_reconstruction_24k_full96_r1,3173f3086fa344f7ad3eb6ce7b07ac1f,16000,peak_export
CL34,CL34_cosmic_shared_frequency_calibration_24k_full96_r4,577cc412ffa04e5686e5c10760186c65,18000,peak_export
CL35,CL35_cosmic_attention_gated_patch_identity_24k_full96_r7,f3417ee9a86342cb9bc13e5eb37bb3e2,24000,final_export
CL36,CL36_cosmic_ba_arcface_hinge_4k_full96_r4,41dcb0987d5d439bb14329052953ff6d,4000,final_export
CL37,CL37_cosmic_smallface_roi_teacher_distill_24k_full96_r4,f3c535315da242d78494d7df6dd1eaa3,18000,peak_export
