run,step,slice_type,slice,count,mean_id_sim
PM0,0,identity,eddie,12,0.49343308309714
PM0,0,identity,elon,12,0.5877155388394991
PM0,0,identity,jennie,12,0.6407908300558726
PM0,0,identity,jensen,12,0.5911285653710365
PM0,0,identity,jisoo,12,0.6286081224679947
PM0,0,identity,keanu,12,0.5336135029792786
PM0,0,identity,lex,12,0.474441056450208
PM0,0,identity,marion,12,0.5029115105668703
PM0,0,prompt,Angry,8,0.621042013168335
PM0,0,prompt,Chef,8,0.5654189139604568
PM0,0,prompt,Crying,8,0.5999820381402969
PM0,0,prompt,Dancing,8,0.4486715793609619
PM0,0,prompt,Drumming,8,0.6018352918326855
PM0,0,prompt,Jumping,8,0.41731708124279976
PM0,0,prompt,Kickboxing,8,0.5930435657501221
PM0,0,prompt,Laughing,8,0.5492771305143833
PM0,0,prompt,Night-ride,8,0.5851068943738937
PM0,0,prompt,Reading,8,0.6098778620362282
PM0,0,prompt,Rushing,8,0.6233863085508347
PM0,0,prompt,Skiing,8,0.46400463581085205
CL27,16000,identity,eddie,12,0.5570181633035342
CL27,16000,identity,elon,12,0.5771885265906652
CL27,16000,identity,jennie,12,0.5912897835175196
CL27,16000,identity,jensen,12,0.5876147449016571
CL27,16000,identity,jisoo,12,0.5625419542193413
CL27,16000,identity,keanu,12,0.5294127042094866
CL27,16000,identity,lex,12,0.4795335630575816
CL27,16000,identity,marion,12,0.4934823587536812
CL27,16000,prompt,Angry,8,0.604172021150589
CL27,16000,prompt,Chef,8,0.562720388174057
CL27,16000,prompt,Crying,8,0.5855294652283192
CL27,16000,prompt,Dancing,8,0.44222744554281235
CL27,16000,prompt,Drumming,8,0.5719108767807484
CL27,16000,prompt,Jumping,8,0.3945547975599766
CL27,16000,prompt,Kickboxing,8,0.5919738784432411
CL27,16000,prompt,Laughing,8,0.5365402698516846
CL27,16000,prompt,Night-ride,8,0.6006147712469101
CL27,16000,prompt,Reading,8,0.6083580106496811
CL27,16000,prompt,Rushing,8,0.6348409950733185
CL27,16000,prompt,Skiing,8,0.4336797781288624
CL30,16000,identity,eddie,12,0.5129713987310728
CL30,16000,identity,elon,12,0.5800700187683105
CL30,16000,identity,jennie,12,0.5787003139654795
CL30,16000,identity,jensen,12,0.5617691874504089
