validation_step,partition,image_index,output_key,identity,prompt,seed,generated_image_count,id_sim,id_sim_legacy_best,id_sim_mask_iou,id_sim_face_count,id_sim_no_face,id_sim_unowned,id_sim_ambiguous
24000,manual_val,0,Reading pa_eddie.png,eddie,"Reading paper man img, park bench, calm face, grey overcoat",0,1,0.547575056552887,0.025761233642697334,0.9194524971560677,1.0,0.0,0.0,0.0
24000,manual_val,1,Rushing ma_eddie.png,eddie,"Rushing man img portrait, subway platform, anxious face, swinging briefcase",0,1,0.6283017992973328,-0.00871356762945652,0.8274378809188936,1.0,0.0,0.0,0.0
24000,manual_val,2,Skiing man_eddie.png,eddie,"Skiing man img, snowy slope, fearless grin, orange goggles",0,1,0.410060852766037,0.039392728358507156,0.8786419351339625,1.0,0.0,0.0,0.0
24000,manual_val,3,Drumming m_eddie.png,eddie,"Drumming man img, rock concert in rain, passionate angry face, black t-shirt",0,1,0.5485180020332336,0.06843048334121704,0.9419875252075224,1.0,0.0,0.0,0.0
24000,manual_val,4,Kickboxing_eddie.png,eddie,"Kickboxing man img, gym ring, fierce roar face, sweatband",0,1,0.6195811033248901,0.006454311311244965,0.8688176763242611,1.0,0.0,0.0,0.0
24000,manual_val,5,Dancing ma_eddie.png,eddie,"Dancing man img, neon club, euphoric face, silver jumpsuit",0,1,0.28361737728118896,0.034723978489637375,0.4362958359229335,1.0,0.0,0.0,0.0
24000,manual_val,6,Angry man _eddie.png,eddie,"Angry man img, traffic jam, scowling face, dark suit",0,1,0.5384577512741089,0.03404325991868973,0.9353145642630624,1.0,0.0,0.0,0.0
24000,manual_val,7,Crying man_eddie.png,eddie,"Crying man img, stormy alley, tearful face, ripped jeans",0,1,0.4774576425552368,0.08019236475229263,0.9243081027009002,1.0,0.0,0.0,0.0
24000,manual_val,8,Laughing m_eddie.png,eddie,"Laughing man img, carnival wheel, carefree laugh, polka-dot shirt",0,1,0.46687576174736023,0.07851402461528778,0.8741562750257408,1.0,0.0,0.0,0.0
24000,manual_val,9,Jumping ma_eddie.png,eddie,"Jumping man img, beach sunset, ecstatic face, blue tank top",0,1,0.33129751682281494,0.031093887984752655,0.9425205566097407,1.0,0.0,0.0,0.0
24000,manual_val,10,Night-ride_eddie.png,eddie,"Night-ride biker man img, neon city, excited face, reflective vest",0,1,0.5693564414978027,0.05992085114121437,0.8424666578634623,1.0,0.0,0.0,0.0
24000,manual_val,11,Chef man i_eddie.png,eddie,"Chef man img, bustling kitchen, proud grin, tall white toque",0,1,0.5611382126808167,0.036837708204984665,0.8846025939474559,2.0,0.0,0.0,0.0
24000,manual_val,12,Reading pa_elon.png,elon,"Reading paper man img, park bench, calm face, grey overcoat",0,1,0.6971272230148315,0.6971272230148315,0.9692108762213791,1.0,0.0,0.0,0.0
24000,manual_val,13,Rushing ma_elon.png,elon,"Rushing man img portrait, subway platform, anxious face, swinging briefcase",0,1,0.7101378440856934,0.7101378440856934,0.9752039435290611,1.0,0.0,0.0,0.0
24000,manual_val,14,Skiing man_elon.png,elon,"Skiing man img, snowy slope, fearless grin, orange goggles",0,1,0.38049590587615967,0.38049590587615967,0.9438849524128967,1.0,0.0,0.0,0.0
24000,manual_val,15,Drumming m_elon.png,elon,"Drumming man img, rock concert in rain, passionate angry face, black t-shirt",0,1,0.5948103666305542,0.5948103666305542,0.9880239520958084,1.0,0.0,0.0,0.0
24000,manual_val,16,Kickboxing_elon.png,elon,"Kickboxing man img, gym ring, fierce roar face, sweatband",0,1,0.5939314961433411,0.5939314961433411,0.936707494739114,1.0,0.0,0.0,0.0
24000,manual_val,17,Dancing ma_elon.png,elon,"Dancing man img, neon club, euphoric face, silver jumpsuit",0,1,0.44966375827789307,0.44966375827789307,0.8516119159355233,1.0,0.0,0.0,0.0
24000,manual_val,18,Angry man _elon.png,elon,"Angry man img, traffic jam, scowling face, dark suit",0,1,0.6218811869621277,0.6218811869621277,0.954485049833887,1.0,0.0,0.0,0.0
24000,manual_val,19,Crying man_elon.png,elon,"Crying man img, stormy alley, tearful face, ripped jeans",0,1,0.5557249188423157,0.5557249188423157,0.9624204348185501,1.0,0.0,0.0,0.0
24000,manual_val,20,Laughing m_elon.png,elon,"Laughing man img, carnival wheel, carefree laugh, polka-dot shirt",0,1,0.6123800873756409,0.6123800873756409,0.9246478025285972,1.0,0.0,0.0,0.0
24000,manual_val,21,Jumping ma_elon.png,elon,"Jumping man img, beach sunset, ecstatic face, blue tank top",0,1,0.4555487632751465,0.4555487632751465,0.9309933774834437,1.0,0.0,0.0,0.0
24000,manual_val,22,Night-ride_elon.png,elon,"Night-ride biker man img, neon city, excited face, reflective vest",0,1,0.6744221448898315,0.6744221448898315,0.9495807239146588,1.0,0.0,0.0,0.0
24000,manual_val,23,Chef man i_elon.png,elon,"Chef man img, bustling kitchen, proud grin, tall white toque",0,1,0.64484703540802,0.64484703540802,0.897876597099077,2.0,0.0,0.0,0.0
24000,manual_val,24,Reading pa_jennie.png,jennie,"Reading paper woman img, park bench, calm face, grey overcoat",0,1,0.6473164558410645,0.6473164558410645,0.9562565461154581,1.0,0.0,0.0,0.0
24000,manual_val,25,Rushing wo_jennie.png,jennie,"Rushing woman img portrait, subway platform, anxious face, swinging briefcase",0,1,0.6665772199630737,0.6665772199630737,0.960172972972973,1.0,0.0,0.0,0.0
24000,manual_val,26,Skiing wom_jennie.png,jennie,"Skiing woman img, snowy slope, fearless grin, orange goggles",0,1,0.6018257737159729,0.6018257737159729,0.9353312779591343,1.0,0.0,0.0,0.0
24000,manual_val,27,Drumming w_jennie.png,jennie,"Drumming woman img, rock concert in rain, passionate angry face, black t-shirt",0,1,0.5847994089126587,0.5847994089126587,0.9607250755287009,1.0,0.0,0.0,0.0
24000,manual_val,28,Kickboxing_jennie.png,jennie,"Kickboxing woman img, gym ring, fierce roar face, sweatband",0,1,0.6150237917900085,0.6150237917900085,0.9725550583064658,1.0,0.0,0.0,0.0
24000,manual_val,29,Dancing wo_jennie.png,jennie,"Dancing woman img, neon club, euphoric face, silver jumpsuit",0,1,0.47527647018432617,0.47527647018432617,0.9256324404761904,1.0,0.0,0.0,0.0
24000,manual_val,30,Angry woma_jennie.png,jennie,"Angry woman img, traffic jam, scowling face, dark suit",0,1,0.6365480422973633,0.6365480422973633,0.9105086621252464,1.0,0.0,0.0,0.0
24000,manual_val,31,Crying wom_jennie.png,jennie,"Crying woman img, stormy alley, tearful face, ripped jeans",0,1,0.6226401329040527,0.6226401329040527,0.9744655257258461,1.0,0.0,0.0,0.0
24000,manual_val,32,Laughing w_jennie.png,jennie,"Laughing woman img, carnival wheel, carefree laugh, polka-dot shirt",0,1,0.6074491739273071,0.6074491739273071,0.9508906578162678,1.0,0.0,0.0,0.0
24000,manual_val,33,Jumping wo_jennie.png,jennie,"Jumping woman img, beach sunset, ecstatic face, blue tank top",0,1,0.4002196490764618,0.4002196490764618,0.944098196869499,1.0,0.0,0.0,0.0
24000,manual_val,34,Night-ride_jennie.png,jennie,"Night-ride biker woman img, neon city, excited face, reflective vest",0,1,0.6855911612510681,0.6855911612510681,0.9747899159663865,1.0,0.0,0.0,0.0
24000,manual_val,35,Chef woman_jennie.png,jennie,"Chef woman img, bustling kitchen, proud grin, tall white toque",0,1,0.5723615884780884,0.5723615884780884,0.8967600219659527,2.0,0.0,0.0,0.0
24000,manual_val,36,Reading pa_jensen.png,jensen,"Reading paper man img, park bench, calm face, grey overcoat",0,1,0.6157327890396118,0.6157327890396118,0.9407292295441995,1.0,0.0,0.0,0.0
24000,manual_val,37,Rushing ma_jensen.png,jensen,"Rushing man img portrait, subway platform, anxious face, swinging briefcase",0,1,0.5878551602363586,0.5878551602363586,0.9442606916255905,1.0,0.0,0.0,0.0
24000,manual_val,38,Skiing man_jensen.png,jensen,"Skiing man img, snowy slope, fearless grin, orange goggles",0,1,0.4695943593978882,0.4695943593978882,0.9770263505210941,1.0,0.0,0.0,0.0
24000,manual_val,39,Drumming m_jensen.png,jensen,"Drumming man img, rock concert in rain, passionate angry face, black t-shirt",0,1,0.6437707543373108,0.6437707543373108,0.9194637890290064,1.0,0.0,0.0,0.0
24000,manual_val,40,Kickboxing_jensen.png,jensen,"Kickboxing man img, gym ring, fierce roar face, sweatband",0,1,0.4579988718032837,0.4579988718032837,0.9643186003683242,1.0,0.0,0.0,0.0
24000,manual_val,41,Dancing ma_jensen.png,jensen,"Dancing man img, neon club, euphoric face, silver jumpsuit",0,1,0.5320452451705933,0.5320452451705933,0.8324972129319955,1.0,0.0,0.0,0.0
24000,manual_val,42,Angry man _jensen.png,jensen,"Angry man img, traffic jam, scowling face, dark suit",0,1,0.6105325818061829,0.6105325818061829,0.9271134957133935,1.0,0.0,0.0,0.0
24000,manual_val,43,Crying man_jensen.png,jensen,"Crying man img, stormy alley, tearful face, ripped jeans",0,1,0.6166909337043762,0.6166909337043762,0.9342586035972242,1.0,0.0,0.0,0.0
